username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2020-03-14 23:14;1;0;"Virus update: • Spain to follow Italy into lockdown as virus cases soar • Iran death toll from virus passes 600; Syria shuts schools • US travel ban extends to UK, Ireland • Italy reports about 3,500 new cases in 24 hours # COVIDー19 # CoronaOutbreak";;;# #;"1238936550030880773";https://twitter.com/Corona2019V/status/1238936550030880773
;2020-03-14 23:07;0;1;"Can't we skip 2020 ...!? # Cricket # cronovirus # football # Friends # friendship # sunday # SundayThought # love # enjoylife # family # 2020iscancelled";;;# # # # # # # # # # #;"1238934898641006592";https://twitter.com/kumarswaraj16/status/1238934898641006592
;2020-03-14 23:04;0;0;"Are you as confused as I am? This is VP, head of taskforce on pandemic cronovirus speaking to Today show from NBC This lates virus killed many people in every country The pandemic definition It has nothing to do with republican democrat independent parties https://www.nbcnews.com/politics/white-house/pence-says-there-s-been-irresponsible-rhetoric-people-downplaying-coronavirus-n1156371 …";;;;"1238934051366539264";https://twitter.com/Gita91616633/status/1238934051366539264
;2020-03-14 22:59;0;0;"@ DubaiPlan2021 @ MOHRE_UAE # COVIDー19 # cronovirus # Whuanpic.twitter.com/GMCZqxk6bn";;@ @;# # #;"1238932749592952832";https://twitter.com/bilalkhan344/status/1238932749592952832
;2020-03-14 22:58;0;0;"@ Twitter @ Avengers where are they? :...( to fight against # cronovirus pic.twitter.com/qtrZlfZpVN";;@ @;#;"1238932515353747456";https://twitter.com/bajt3l/status/1238932515353747456
;2020-03-14 22:56;0;0;"for those who thinks they don't need a mask bc they're healthy: you will soon not be. # cronovirus # CONVID19";;;# #;"1238932050503036928";https://twitter.com/ShaySXY/status/1238932050503036928
;2020-03-14 22:46;0;1;"BREAKING NEWS- We have decried today to make team Pratices Delayed till April 8th ( We delayed it 3 days because of the cronovirus this should give it little bit more time and us to see what’s it doing)";;;;"1238929513737846784";https://twitter.com/Jack52545386/status/1238929513737846784
;2020-03-14 22:36;0;0;"Today, people of the world, regardless of race, nationality, wealth, literacy and ....., are divided into two groups only: Coronary and Corona-free ... For the time being, no further classification is relevant ... # COVIDー19 # Italy # CoronaOutbreak # CoronaVirusUpdates";;;# # # #;"1238926878410444800";https://twitter.com/Corona2019V/status/1238926878410444800
;2020-03-14 22:35;0;0;"OUR BBC has gone into OVERDRIVE whipping up Cronovirus to a FRENZY! WE don't live in a "Nanny State" WE don't need telling constantly what we should Do! WE are ADULTS for a reason we learn COMMON SENSE from our parents...START USING THEM ITS A VIRUS! ADULTS USE RATIONAL THINKING pic.twitter.com/XteaQh9iqC";;;;"1238926762551259141";https://twitter.com/MrBushman1/status/1238926762551259141
;2020-03-14 22:23;0;0;"# cronovirus I blame # brexit # distraction";;;# # #;"1238923672204836866";https://twitter.com/nazahmed16/status/1238923672204836866
;2020-03-14 22:19;0;0;"he really ended the cronovirus https://twitter.com/Officialjiaer/status/1238863692835536897 …";;;;"1238922778503454721";https://twitter.com/eunhnyk/status/1238922778503454721
;2020-03-14 22:17;0;0;"Here is a thought If Trump/Pence become incapacitated by cronovirus drum roll please President Nancy Pelosi Just sayin";;;;"1238922108035567616";https://twitter.com/chaykr/status/1238922108035567616
;2020-03-14 22:12;0;1;"Great job by government of Balochistan for decreasing the Chaos panic prevailed among the masses of Balochistan by crono virus, @ LiaquatShahwani @ dpr_gob";;@ @;;"1238920988563247105";https://twitter.com/OBAIDMASHWANI/status/1238920988563247105
;2020-03-14 21:47;0;0;"Read about me # Coronavirus Disease 2019 (COVID-19) | CDChttps://www.cdc.gov/coronavirus/2019-ncov/index.html …";;;#;"1238914789876871168";https://twitter.com/Corona2019V/status/1238914789876871168
;2020-03-14 21:47;1;4;"Good step forward to make precautions from the Crono-virus. https://twitter.com/umutcagrisari/status/1238905001977810949 …";;;;"1238914584683167744";https://twitter.com/cabdiraxmandahr/status/1238914584683167744
;2020-03-14 21:39;0;0;"A "LA PATO PISTOLERA", NO LE VA AGARRAR JAMAS EL CRONOVIRUS. ES EXPERTA EN LAVARSE LAS MANOS";;;;"1238912671828885504";https://twitter.com/ahlmmercado/status/1238912671828885504
;2020-03-14 21:37;0;2;"like china in your hand, tpua when the wind blows, iron maiden virus, iron maiden maenanmena, muppets... well my version is cronovirus … wheresthebogroll cronovirus…. under my skin, frankie blue eyes touch me, samtha fox in your room, bangles 3am, iron maiden last Christmas,";;;;"1238912088011137026";https://twitter.com/Andy57088135/status/1238912088011137026
;2020-03-14 21:31;1;13;"Me during the cronovirus pic.twitter.com/kR6NghVz9k";;;;"1238910597317775361";https://twitter.com/Dale_XCX/status/1238910597317775361
;2020-03-14 21:30;1;1;"Le sucre n est pas bon pour la santé. Le cronovirus par contre aime bien le sucre";;;;"1238910435425951750";https://twitter.com/ADALGISA77/status/1238910435425951750
;2020-03-14 21:22;0;0;"The Internatiinal peninsula of Florida the shine state and pandemic of cronovirus 25 new cases Home to many things including cruise industry Since we are next to Atantic Ocean Water water everywhere https://www.wptv.com/news/state/florida-announces-25-new-cases-of-coronavirus …";;;;"1238908315343695872";https://twitter.com/Gita91616633/status/1238908315343695872
;2020-03-14 21:22;0;0;"Jesus! No people. Just two contenders and officials. This pandemic is very serious. # UFCBrasilia # cronovirus https://twitter.com/ufc/status/1238907482321248256 …";;;# #;"1238908289959612416";https://twitter.com/AjthreetJ/status/1238908289959612416
;2020-03-14 21:21;0;0;"Norway is going to close airports and ports from Monday due to cronovirus # Covid_19PH # CoronaVirusUpdates";;;# #;"1238908016415694848";https://twitter.com/fwadkhann/status/1238908016415694848
;2020-03-14 21:12;0;0;"You know how birds in Australia defend from # cronovirus? They put the head into the sand ..you should try that @ katyperry lol";;@;#;"1238905738841526275";https://twitter.com/zoranhorus/status/1238905738841526275
;2020-03-14 21:01;0;0;"I should be fearful of this cronovirus but for what I live in a corrupt reality";;;;"1238903044219142145";https://twitter.com/value_know/status/1238903044219142145
;2020-03-14 20:59;0;0;"Yeah and what sick minded peoples Lynch other humans in name of cows and drink cow Urine and gobar to fight cronovirus...";;;;"1238902578517176320";https://twitter.com/PraveenXess/status/1238902578517176320
;2020-03-14 20:54;0;2;"you know with cronovirus going around and people being scared like that... I'm really REALLY looking forward to paying my rent next month.";;;;"1238901434487275527";https://twitter.com/Ayaisonsocialm1/status/1238901434487275527
;2020-03-14 20:47;2;7;"بھارتی ہندو دنیا کی سب سے زیادہ گھٹیا قوم ہیں۔ یقین نہیں آتا تو یہ دیکھ لیں # CronoVirus https://twitter.com/TurkeyUrdu/status/1238836762673381378 …";;;#;"1238899653732642821";https://twitter.com/IamYasirRasool/status/1238899653732642821
;2020-03-14 20:45;0;2;"Everything u need to know about cronovirus # cronoavirus # trading @ RaoulGMIhttps://emcrit.org/ibcc/covid19/";;@;# #;"1238899035051905024";https://twitter.com/d0ct0r__wh0/status/1238899035051905024
;2020-03-14 20:40;0;1;"As the new coronavirus continues to spread around the world, some medical experts say it could become as widespread as the common flu. But as the number of casualties rise, thousands have also recovered. Here’s Julie's story. # cronovirus @ WHO @ MoHFW_INDIA @ BBC @ PIB_India @ V2019Npic.twitter.com/FKqRgSXIFA";;@ @ @ @ @;#;"1238897752664227840";https://twitter.com/Roos07498193/status/1238897752664227840
;2020-03-14 20:37;0;3;"Cronovirus wouldn’t be a problem if we still took gummy vitamins";;;;"1238897110235467776";https://twitter.com/ASentientWall/status/1238897110235467776
;2020-03-14 20:36;0;1;"Wouw et le cronovirus... My God... Ils se touchent et t imagines les postillons et les miasmes et et et.... Ou la la";;;;"1238896806613913605";https://twitter.com/ADALGISA77/status/1238896806613913605
;2020-03-14 20:34;0;0;"History of cronovirus In the year 1875. There was a Russian scientist named Nadaahlatmamimay bathemanasnahk why did you skip the name? I'm not going to tell you the story anymore. i can't deal with lazy people. it's your fault. # COVIDー19";;;#;"1238896289179480064";https://twitter.com/Mansoor956/status/1238896289179480064
;2020-03-14 20:28;0;2;"Jo uske Mama waha se crono virus le kar gye unka kya karein.. https://twitter.com/Nationalist_Dee/status/1238758822497271812 …";;;;"1238894777195802624";https://twitter.com/wadhwadee/status/1238894777195802624
;2020-03-14 20:26;0;0;"Time to target Iranian facilities directly to get their proxies in Iraq to stop the attacks. I'm sure this is what the Iranian govt. wants to divert public attention from their poor response to the cronovirus outbreak.";;;;"1238894178647576576";https://twitter.com/NoleAlum83/status/1238894178647576576
;2020-03-14 20:23;0;0;"And it took few thousand years for cronovirus to show and hence idiots get a chance to stupidly try and prove some traditions. Btw how about Japanese, Thai and Arab’s greetings?";;;;"1238893471471210497";https://twitter.com/UmaidK/status/1238893471471210497
;2020-03-14 20:22;0;0;"# coronavirus # cronovirus pic.twitter.com/Y2UdEVFJAR";;;# #;"1238893391800393728";https://twitter.com/MazharDawar3/status/1238893391800393728
;2020-03-14 20:22;0;0;"I humiliate cronovirus!";;;;"1238893227446435840";https://twitter.com/PayamAzad1/status/1238893227446435840
;2020-03-14 20:18;0;0;"I scoff at Cronovirus!";;;;"1238892218162659328";https://twitter.com/PayamAzad1/status/1238892218162659328
;2020-03-14 20:15;0;1;""I took the test. I took it very well. And the doctors, they all said 'Sir, we've never found less Cronovirus in anyone we've tested.' So it was a very good test. Thank you." pic.twitter.com/L0y8eCnQc8";;;;"1238891630251388928";https://twitter.com/DarlaNanny/status/1238891630251388928
;2020-03-14 20:13;0;0;"Now my whole family has gone but bat crazy! I wish everyone would just chill! # cronovirus";;;#;"1238891020571549696";https://twitter.com/Brendy81720041/status/1238891020571549696
