username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2020-02-12 16:12;1;2;"# restart_opposition # RestartMIGA # restart_7777 # planb # cronovirus # seyed_mohammad_hosseini # تنها_راه_نجات_ری_استارت # شاه_نعمت_الله_ولی # عرفان_تصوف # پرشیا";;;# # # # # # # # # #;"1227596369516539910";https://twitter.com/Soldier36267190/status/1227596369516539910
;2020-02-12 15:02;0;1;"# cronovirus # chinavirushttps://twitter.com/HanifAzad4/status/1224535898009849856 …";;;# #;"1227578724859641856";https://twitter.com/HanifAzad4/status/1227578724859641856
;2020-02-12 14:18;1;2;"मुसीबत जिस पर आती है वही महसूस करता है लेकिन मजाक बनाने से पहले सोचना चाहिए कि दुनिया एक है ! # cronovirus # China";;;# #;"1227567690002259971";https://twitter.com/StatueSpeaks/status/1227567690002259971
;2020-02-12 13:43;0;0;"# cronovirus has probably already walked right across the boarder.. right into dooshy liberal # California. Won’t have anyone to blame but yourselves.";;;# #;"1227558921348550656";https://twitter.com/DarkPolitically/status/1227558921348550656
;2020-02-12 13:07;0;0;"Ahh is this a crono virus meme or is this a bad tweet";;;;"1227549865179262977";https://twitter.com/Kaibami1/status/1227549865179262977
;2020-02-12 12:50;0;2;"Yes and I'm sure the Cronovirus that wiped billions of the Asia markets, smashed the European and American markets had nothing to do with it since the markets only reopened on Monday and were always going to react badly to slowdown in China but no it's all SF's fault";;;;"1227545600784203776";https://twitter.com/Marcus_Suridius/status/1227545600784203776
;2020-02-12 12:36;0;0;"# cronovirus pic.twitter.com/mJwr8B4eSj";;;#;"1227542013362548736";https://twitter.com/Aabid_Anwaar/status/1227542013362548736
;2020-02-12 12:35;0;0;"Hilton closed 150 hotel rooms in China due to cronovirus outbreak http://j.mp/37jYwXZ # news";;;#;"1227541620750372864";https://twitter.com/RockCheetah/status/1227541620750372864
;2020-02-12 12:19;0;0;"Foreign country:- Ebola virus, Zika virus, Cronovirus India:- Heza, kali khasi, khasra, Pachis, maleriya We are unable to give even good name of dieseas forget innovation";;;;"1227537583938293760";https://twitter.com/humourrohan/status/1227537583938293760
;2020-02-12 11:42;4;5;"@ Real_Anuj ye hamari pavitr kitab ko crono virus se jod raha hai ham ise insaan se nahi janvar se jodte hain. Please guys copy paste # Arrest_Anuj # Arrest_Anuj # Arrest_Anuj";;@;# # #;"1227528413600071680";https://twitter.com/sahal_chaudhary/status/1227528413600071680
;2020-02-12 11:18;0;0;"Ainda não perceberam que o Benfica perder é um problema nacional. Por força do cronovirus a China consome menos combustíveis o crude/petróleo já baixou 16%. Deram conta dessa baixa?? Alguém se manifesta por isso??";;;;"1227522295696105472";https://twitter.com/Fernand36864006/status/1227522295696105472
;2020-02-12 10:33;0;2;"Just do some work by yourself lazy person. Now sleep tight and no more propaganda on # cronovirus pic.twitter.com/RvQjBrUYqW";;;#;"1227510938481225728";https://twitter.com/AliHumdani/status/1227510938481225728
;2020-02-12 09:33;4;6;"Migrant workers advised to fly directly to Taiwan, avoid quarantine, # cronovirus https://focustaiwan.tw/society/202002120008 …";;;#;"1227496035116666880";https://twitter.com/Focus_Taiwan/status/1227496035116666880
;2020-02-12 09:03;0;0;"@ GMB how the fuck is the cronovirus getting into jails Im still waiting for over 2 weeks for my eBay order.";;@;;"1227488456336605184";https://twitter.com/stumpz09/status/1227488456336605184
;2020-02-12 08:57;0;0;"@ DBreeFN remember that bubble wrap cake from China..... lmao CRONO VIRUS";;@;;"1227486842938806273";https://twitter.com/VG_Zore/status/1227486842938806273
;2020-02-12 08:52;0;0;"# MumtazAli calls for raising awareness about Novel # coronaVirus in country # APPNews # cronovirus # China # Crona @ WHO @ WHOWPRO https://app.com.pk/mumtaz-ali-calls-for-raising-awareness-about-novel-corona-virus-in-country/ … via @ appcsocialmediapic.twitter.com/JWfAo4n64L";;@ @ @;# # # # # #;"1227485491311894528";https://twitter.com/appcsocialmedia/status/1227485491311894528
;2020-02-12 06:45;0;1;"Cronovirus spreading";;;;"1227453602156941312";https://twitter.com/timthebrownbear/status/1227453602156941312
;2020-02-12 06:18;0;1;"cronovirus attackin w/o turning back pic.twitter.com/ltDW9KMvIr";;;;"1227446917635899393";https://twitter.com/shahrulxr/status/1227446917635899393
;2020-02-12 06:02;1;0;"We expect that the doubling time of confirmed infections of COVIP19 would get greater than the incubation period of the disease in a couple weeks. # COVIP19 # cronovirus # wuhan # Chinapic.twitter.com/EufBRxfzJK";;;# # # #;"1227442788222017536";https://twitter.com/xiaoqianggao/status/1227442788222017536
;2020-02-12 05:14;0;1;"And. No. Cronovirus is bye bye we are not talking about any revolts and certainly not Hong Kong. Everyone go back to sheep, I mean, sleep. pic.twitter.com/ypzYUf1oUy";;;;"1227430644386615296";https://twitter.com/Jsmithjax/status/1227430644386615296
;2020-02-12 04:23;1;1;"So 2 GP’s practices are currently closed in my town due to # cronovirus, and a couple of schools have staff off self isolating.";;;#;"1227417860173070337";https://twitter.com/TemplarWrath/status/1227417860173070337
;2020-02-12 04:11;0;0;"Are they any reason behind cronovirus.....????";;;;"1227414898134507520";https://twitter.com/RahulJo63587529/status/1227414898134507520
;2020-02-12 04:09;0;0;"# Pets # Dogs # Cats # Zoology # ZooLander # cronovirus https://youtu.be/TmWhY_irAXE";;;# # # # # #;"1227414512556314624";https://twitter.com/JBeaststar/status/1227414512556314624
;2020-02-12 03:35;5;8;"Still awaiting @ RoyalCaribbean # CrownAndAnchor Loyalty Team to reply to multiple emails concerning upcoming # Singapore sailings in wake of # cronovirus. Perhaps @ RoyalCaribPR will encourage response before I escalate the discussion to @ MktKitchenTV YouTube, Insta & LinkedIn?https://twitter.com/RonaldVining/status/1227056705965420544 …";;@ @ @;# # #;"1227405953240313856";https://twitter.com/RonaldVining/status/1227405953240313856
;2020-02-12 02:28;0;0;"Ze statku linii Princess Cruises koło Tokio kolejne 39 osób to nowe przypadki # cronovirus , w sumie to 174 osoby na samym statku. https://twitter.com/BNODesk/status/1227388316842065921 …";;;#;"1227388874902687744";https://twitter.com/2000Kobae/status/1227388874902687744
;2020-02-12 02:01;0;0;""Polischef i # Skåne anhållen–För misshandel av kvinna" Varsågod-Här har du kriminella från katastrofala polismyndigheten i # region # Syd! # Nyheter # Crime # Sweden # Politics # Socialdemokraterna # War # Svpol # Corruption # cronovirus # cronavirus # VirusCoronahttp://www.aftonbladet.se/nyheter/a/qnaRBE/polischef-anhallen--misstanks-for-misshandel-av-kvinna …";;;# # # # # # # # # # # # # #;"1227382193011511296";https://twitter.com/RealNobakhtAhad/status/1227382193011511296
